measurement,interval-time,split-distnace,split-time
breakout,4.138,15,5.94
cycle,1.097,25,11.828
cycle,1.579,40,19.299
cycle,1.025,50,25.51
cycle,1.29,65,33.98
cycle,1.12,75,40.121
breakout,6.054,90,48.371
cycle,1.445,100,55.29
cycle,1.237,,
cycle,1.122,,
cycle,1.173,,
cycle,1.132,,
cycle,1.122,,
cycle,1.296,,
breakout,4.396,,
cycle,1.51,,
cycle,1.11,,
cycle,1.147,,
cycle,1.149,,
cycle,1.104,,
cycle,1.178,,
cycle,1.059,,
cycle,1.113,,
cycle,0.91,,
breakout,4.195,,
cycle,1.267,,
cycle,1.02,,
cycle,1.058,,
cycle,1.113,,
cycle,1.137,,
cycle,1.07,,
cycle,1.126,,
cycle,1.07,,
cycle,1.065,,
cycle,1.129,,